"","ActivityDesc","Subject","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z"
"1","STANDING",2,0.277911472222222,-0.0184208270166667,-0.105908536055556,-0.987271889259259,-0.957304989259259,-0.949741851296296,-0.983946739814815,-0.959871697407407,-0.962471195740741,-0.989056469814815,-0.957908842222222,-0.946433583518518
"2","SITTING",2,0.27708735173913,-0.0156879937282609,-0.109218272456522,-0.986822279565217,-0.950704499130435,-0.95982817173913,-0.985803840652174,-0.957343498478261,-0.970162172608696,-0.98736209,-0.950073754130435,-0.956862864130435
"3","LAYING",2,0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.974059464791667,-0.98027739875,-0.984233296875,-0.976725059791667,-0.979800877916667,-0.984380981875,-0.973246482083333,-0.981025105625,-0.984792185
"4","WALKING",2,0.276426586440678,-0.0185949199145763,-0.105500357966102,-0.423642838474576,-0.0780912533118644,-0.425257524915254,-0.346048161016949,-0.0219048103322034,-0.453806369830508,-0.457651383728814,-0.16921968620339,-0.455222146440678
"5","WALKING_DOWNSTAIRS",2,0.27761534806383,-0.0226614158361702,-0.116812942382979,0.0463666814446808,0.262881788951064,-0.10283790806383,0.112841160325532,0.278345041765957,-0.131290772,0.0161046198595745,0.171973972957447,-0.162032894287234
"6","WALKING_UPSTAIRS",2,0.247164790395833,-0.0214121132045833,-0.152513899520833,-0.304376406458333,0.108027279889583,-0.112121021220833,-0.266720933270833,0.00992445881854167,-0.281001986202083,-0.320582414375,0.0848802791083333,-0.09454497643125
"7","STANDING",4,0.280499745892857,-0.00948911098553571,-0.0961574905535714,-0.97692058,-0.86159737875,-0.896880538392857,-0.973497549642857,-0.889549205,-0.93164342125,-0.978737637678571,-0.857380281803571,-0.887554317678571
"8","SITTING",4,0.27153827992,-0.007163065158,-0.10587459588,-0.980309931,-0.89022398108,-0.9322030066,-0.9774624984,-0.9057829318,-0.9517837432,-0.9819081892,-0.8894673494,-0.9269993168
"9","LAYING",4,0.263559214981481,-0.0150031841055556,-0.110688150314815,-0.954193738888889,-0.941714042407407,-0.962667314814815,-0.958802077592593,-0.938883374444444,-0.967504278888889,-0.952464881481481,-0.946380971111111,-0.962154454259259
"10","WALKING",4,0.278582015166667,-0.0148399475341667,-0.11140306485,-0.440829971333333,-0.0788267367683333,-0.586252806833333,-0.426719449666667,-0.14939963344,-0.631005470833333,-0.447234929666667,-0.101799450565167,-0.594198325666667
"11","WALKING_DOWNSTAIRS",4,0.279965329555556,-0.00980200850666667,-0.1067775246,0.0111935496222222,-0.21859832499,-0.479185977111111,-0.0722392276888889,-0.129606639466667,-0.494683451555556,0.0390098262533333,-0.32253131772,-0.512694303111111
"12","WALKING_UPSTAIRS",4,0.270876696730769,-0.0319804295729615,-0.114219455519231,-0.204933042903846,-0.0666899105180769,-0.372137777692308,-0.294488270365385,-0.117109161492308,-0.524655722692308,-0.173217219014423,-0.101434446040385,-0.345109817692308
"13","STANDING",9,0.282310057333333,-0.0200454954022222,-0.0952747481333333,-0.975741252444444,-0.938635759333333,-0.919295805777778,-0.971662692,-0.944849431777778,-0.941686874222222,-0.977579248444444,-0.938790016888889,-0.913896832222222
"14","SITTING",9,0.24832674354,-0.02701677698,-0.07537846886,-0.9572277914,-0.875141405,-0.83200187268,-0.959413594,-0.911683219,-0.8922013438,-0.956903459,-0.86761360746,-0.818001834824
"15","LAYING",9,0.2591955368,-0.020526821662,-0.10754972144,-0.94233309,-0.9162927764,-0.9407072854,-0.946865494,-0.9343665984,-0.9459190006,-0.9409810272,-0.9128367508,-0.9419711636
"16","WALKING",9,0.278502842115385,-0.0180891971284423,-0.110820512307692,-0.238353562692308,-0.201696960826923,-0.0579636469030769,-0.294711163653846,-0.257677616153846,-0.250806259788462,-0.218019977423077,-0.223972558596154,-0.0337965256573077
"17","WALKING_DOWNSTAIRS",9,0.295923445,-0.0203994269075476,-0.0910278793952381,0.213392270547619,-0.208310705504762,-0.00771530035714285,0.103128506197619,-0.183120455428571,-0.103705822657857,0.250488758869048,-0.273561385142857,-0.0349494927142857
"18","WALKING_UPSTAIRS",9,0.262436475714286,-0.0195101099975714,-0.125219003959184,-0.36144437755102,-0.302206203816327,-0.253434083542857,-0.342735952653061,-0.405022798163265,-0.384710423408163,-0.369815777346939,-0.297641062755102,-0.244081808302041
"19","STANDING",10,0.276650300681818,-0.0155418603409091,-0.107964083931818,-0.978403481818182,-0.919561843409091,-0.941271440454545,-0.970099814318182,-0.923378745227273,-0.955272383863636,-0.982949246136364,-0.921860476590909,-0.938098683181818
"20","SITTING",10,0.270612056481481,-0.015042681852037,-0.104253238796296,-0.982901825925926,-0.917979529962963,-0.967826981666667,-0.984943144259259,-0.9404502,-0.97464465462963,-0.982242427777778,-0.912838063018519,-0.966121042592593
"21","LAYING",10,0.280230574137931,-0.024294484137931,-0.117168642362069,-0.968283685,-0.946454302068966,-0.95947148637931,-0.96918420862069,-0.954341849137931,-0.964300845172414,-0.96796803862069,-0.946229148258621,-0.959813667810345
"22","WALKING",10,0.278574076603774,-0.017022351190566,-0.109057512132075,-0.178709734396226,-0.0227431651698113,-0.395645072075472,-0.114190001283019,0.0533911909886792,-0.41218272245283,-0.206366497226415,-0.129775706316981,-0.435304215660377
"23","WALKING_DOWNSTAIRS",10,0.290401594315789,-0.0200050770710526,-0.110848597247368,0.295733547631579,0.00407915363157895,-0.183557562032895,0.215665273157895,0.00904660360263158,-0.157728357742105,0.324957743157895,-0.0633337717526316,-0.268686170263158
"24","WALKING_UPSTAIRS",10,0.267121853404255,-0.0143854920340426,-0.118180420834043,-0.161591924234043,-0.00555287692765957,-0.0738744931340426,-0.139410790617021,-0.0390688222212766,-0.301206408085106,-0.171957349438298,-0.051628469647234,-0.0342347233914894
"25","STANDING",12,0.277405834918033,-0.0169002543196721,-0.105526999754098,-0.981243992459016,-0.923140254098361,-0.920684800114754,-0.976469472295082,-0.932775677704918,-0.947178200163934,-0.983647207377049,-0.922852028360656,-0.914189183770492
"26","SITTING",12,0.275007224901961,-0.0157892988523529,-0.106307228960784,-0.982568781960784,-0.92858124,-0.939661889019608,-0.97966614372549,-0.942768016862745,-0.954626628823529,-0.98399947745098,-0.926033975686275,-0.935916958235294
"27","LAYING",12,0.260113433,-0.0175203917146667,-0.108160125666667,-0.95531868,-0.949072009333333,-0.9483338435,-0.956248487666667,-0.951265971,-0.954724801666667,-0.955207641833333,-0.9506400405,-0.948380833666667
"28","WALKING",12,0.2771286656,-0.015560927606,-0.10316110632,-0.128898533096,-0.122783290008,-0.4106060626,-0.05435763951,-0.071302455092,-0.4223253002,-0.160707260634,-0.20851528006,-0.4521466944
"29","WALKING_DOWNSTAIRS",12,0.281521097391304,-0.018084266865793,-0.10955593226087,0.0424084916086956,0.11083534373913,-0.425017413478261,0.0235049348717391,0.150510001156522,-0.402121221521739,0.0483347068913043,0.016749510173913,-0.48739012673913
"30","WALKING_UPSTAIRS",12,0.272970338653846,-0.0263574903403846,-0.107339730115385,-0.290149192307692,-0.103818259823077,-0.436697425576923,-0.321447925192308,-0.168341519859615,-0.560841212692308,-0.278929748076923,-0.130175559028846,-0.418599992115385
"31","STANDING",13,0.277758431052632,-0.0167891993964912,-0.112124137754386,-0.991020759298246,-0.949422439473684,-0.967538031754386,-0.989425965614035,-0.959427618245614,-0.97756730122807,-0.991817705263158,-0.947179813157895,-0.964048080877193
"32","SITTING",13,0.274328499591837,-0.00587732936326531,-0.0972465110836735,-0.989546275306122,-0.938967741632653,-0.938641215510204,-0.990135477755102,-0.959673916122449,-0.956183063510204,-0.989410582653061,-0.933666502510204,-0.934189007346939
"33","LAYING",13,0.276716360483871,-0.020440454366129,-0.104331864532258,-0.968891989354839,-0.950947949516129,-0.950392995483871,-0.974716920483871,-0.965843757258064,-0.966295582741935,-0.966960088387097,-0.947462328225806,-0.945852135806452
"34","WALKING",13,0.275883130350877,-0.0185660651947368,-0.111431456192982,-0.346980394210526,0.141866689392982,-0.220503537026316,-0.335030121052632,0.0955150666694737,-0.246851507561404,-0.353299848947368,0.0921968931052632,-0.269896395250877
"35","WALKING_DOWNSTAIRS",13,0.294907553404255,-0.0143723839108511,-0.101993941531915,-0.0681563626617021,-0.03212524665,-0.158333146191489,-0.0726602663212766,-0.0364535247659574,-0.151178724793617,-0.0680436217021277,-0.0924444167085106,-0.233315176510213
"36","WALKING_UPSTAIRS",13,0.258203939581818,-0.0277392253910909,-0.125767265890909,-0.296284597454545,0.104470773801818,-0.217210568085455,-0.382460736363636,-0.0636564765818182,-0.404785239945455,-0.266081292363636,0.114656709636364,-0.184842227972182
"37","STANDING",18,0.278458805890411,-0.0166353518150685,-0.108453355945205,-0.992019762739726,-0.95422343630137,-0.961873909178082,-0.990409919315068,-0.961239135479452,-0.975772813972603,-0.992789068493151,-0.952911994794521,-0.957216177945206
"38","SITTING",18,0.27727001877193,-0.0128691279736842,-0.111904775824561,-0.994347988596491,-0.974928131052632,-0.977572717017544,-0.993144920175439,-0.976538530350877,-0.982996441403509,-0.994906565789474,-0.974980068596491,-0.975722121403509
"39","LAYING",18,0.274691576923077,-0.0173937684615385,-0.107698927907692,-0.984527649230769,-0.986160920923077,-0.987658662307692,-0.985179972153846,-0.984909884615385,-0.988606906307692,-0.984321858307692,-0.986746450769231,-0.987224804307692
"40","WALKING",18,0.273887758571429,-0.0178023631866071,-0.104218315464286,-0.37600552125,-0.227005874892857,-0.428348061071429,-0.37147515625,-0.24360627125,-0.48977105125,-0.378068199285714,-0.267273644642857,-0.439861578035714
"41","WALKING_DOWNSTAIRS",18,0.288439468909091,-0.0168666920221818,-0.1033908092,-0.302634565090909,-0.254214045818182,-0.418610127454545,-0.350086793272727,-0.309049613818182,-0.505824358,-0.285535871636364,-0.273798158,-0.418258649818182
"42","WALKING_UPSTAIRS",18,0.265401201896552,-0.0222060684378914,-0.112655891327586,-0.380168286724138,-0.211155120224138,-0.31437339137931,-0.465097261896552,-0.363450742586207,-0.522728377068965,-0.350639840862069,-0.190550638155172,-0.269571390465517
"43","STANDING",20,0.278076904657534,-0.0180695049161644,-0.100402759931507,-0.967209961232877,-0.87541041109589,-0.913142481643836,-0.96193272890411,-0.898194212465753,-0.929985824794521,-0.96980617890411,-0.872525409452055,-0.910995860273973
"44","SITTING",20,0.278045439090909,-0.0147229305131818,-0.108369634515152,-0.983081858939394,-0.93612270469697,-0.929106396818182,-0.981203064242424,-0.945198619242424,-0.947597457121212,-0.98397837530303,-0.935031700454545,-0.924947175454545
"45","LAYING",20,0.239507882205882,-0.0144406281132353,-0.104274322538235,-0.962249114705882,-0.964098180294118,-0.972571998382353,-0.965728781617647,-0.965595958382353,-0.976392651323529,-0.960997907205882,-0.964960988382353,-0.971901324705882
"46","WALKING",20,0.272589336470588,-0.021199992245098,-0.113539477098039,-0.208342792019608,0.489771808627451,-0.228734217372549,-0.147404272166667,0.403465950921569,-0.272213861705882,-0.234985644352941,0.438436341294118,-0.26649772672549
"47","WALKING_DOWNSTAIRS",20,0.296144421355556,-0.00964120773155556,-0.104602925937778,0.0745098785288889,0.616937015333333,-0.160938536488889,-0.0343309987555556,0.524187686888889,-0.188098811986667,0.113033424261778,0.560191344,-0.213916756933333
"48","WALKING_UPSTAIRS",20,0.252098317156863,-0.0282258047588235,-0.121023947784314,-0.116088676011765,0.15219632835098,-0.229249455098039,-0.140439074776471,-0.0293832440223529,-0.318431522156863,-0.108444759592157,0.16454675022549,-0.242438965196078
"49","STANDING",24,0.280348883913043,-0.0144785340348986,-0.108222553855072,-0.98725587115942,-0.936871974347826,-0.930283530144928,-0.984183633623188,-0.948970158405797,-0.953817599275362,-0.988851853478261,-0.934454791304348,-0.923802467681159
"50","SITTING",24,0.273475690147059,-0.0131255097938235,-0.103041061426471,-0.990593766617647,-0.956255962058824,-0.957056111470588,-0.989529506764706,-0.962773200147059,-0.966991781176471,-0.991100005441176,-0.954998005147059,-0.954402697794118
"51","LAYING",24,0.272850494930556,-0.0173555210111111,-0.107236237236111,-0.967984021111111,-0.983126461944444,-0.973566958888889,-0.975893687083333,-0.980830362083333,-0.976634815694444,-0.965167081805556,-0.984571808472222,-0.973057781805556
"52","WALKING",24,0.276980816034483,-0.0225446400534483,-0.110595952913793,-0.47076236637931,-0.154127498163793,-0.288840016206897,-0.492419802586207,-0.203193741396552,-0.344493013448276,-0.462733639137931,-0.182766476862069,-0.314646918448276
"53","WALKING_DOWNSTAIRS",24,0.288631208909091,-0.0145730348310909,-0.104818820272727,-0.08273248054,-0.102607326783636,-0.205566380745455,-0.222324293454545,-0.0861829752472727,-0.173825083587273,-0.0349085946785455,-0.169191147529091,-0.291553822381818
"54","WALKING_UPSTAIRS",24,0.269881106779661,-0.0251979434569492,-0.114248610966102,-0.344399351355932,-0.116804488966102,-0.255601012881356,-0.395790553898305,-0.252412541966102,-0.312792211016949,-0.326165553050847,-0.107787679328814,-0.28314344338983
"55","STANDING",1,0.278917629056604,-0.0161375901037736,-0.110601817735849,-0.995759901509434,-0.973190056415094,-0.979775876981132,-0.995249932641509,-0.977070847735849,-0.985297098679245,-0.99602834509434,-0.972293102075472,-0.977937259622642
"56","SITTING",1,0.261237565425532,-0.00130828765170213,-0.104544182255319,-0.977229008297872,-0.922618641914894,-0.93958629106383,-0.979641238723404,-0.944084550425532,-0.959184889148936,-0.976412313191489,-0.917275006382979,-0.934469558085106
"57","LAYING",1,0.22159824394,-0.0405139534294,-0.11320355358,-0.9280564692,-0.83682740562,-0.826061401628,-0.9390990524,-0.86706520518,-0.8826668762,-0.9244374346,-0.8336255561,-0.81289155944
"58","WALKING",1,0.277330758736842,-0.0173838185273684,-0.111148103547368,-0.283740258842105,0.114461336747368,-0.260027902210526,-0.202794306326316,0.0897127264021053,-0.331560117789474,-0.319134719578947,0.056040006846,-0.279686751494737
"59","WALKING_DOWNSTAIRS",1,0.289188320408163,-0.00991850461020408,-0.107566190908163,0.0300353383483878,-0.0319359434489796,-0.230434213204082,0.0382291831510204,0.00154990783591837,-0.225574471693878,0.0243308391387755,-0.112963739953061,-0.297927894693878
"60","WALKING_UPSTAIRS",1,0.255461689622641,-0.0239531492643396,-0.0973020020943396,-0.35470802509434,-0.00232026501698113,-0.0194792388471698,-0.404321784150943,-0.190976720811321,-0.433349702075472,-0.337428188679245,0.0217695106566038,0.0859565543849057
"61","STANDING",3,0.280046513278689,-0.0143376555065574,-0.101621722633148,-0.96674254295082,-0.893449307213115,-0.911419015081967,-0.960123409508197,-0.908075353770492,-0.939507735245902,-0.969931287377049,-0.89243434852459,-0.904801254590164
"62","SITTING",3,0.257197599134615,-0.00350299841730769,-0.0983579203269231,-0.971010120961538,-0.856617812115385,-0.875110175384615,-0.970154440961538,-0.891907751346154,-0.917987925384615,-0.971605878461538,-0.8496556575,-0.864322464038462
"63","LAYING",3,0.275516852741935,-0.0189556785048387,-0.101300477506452,-0.982776639193548,-0.962057544516129,-0.96369103483871,-0.980665609032258,-0.961169982903226,-0.968332141612903,-0.983691129032258,-0.964094604193548,-0.96327908016129
"64","WALKING",3,0.275567462068966,-0.0171767844203448,-0.112674859827586,-0.360356726034483,-0.0699140652103448,-0.387411994310345,-0.316614011689655,-0.0813024353275862,-0.412374074482759,-0.379276781206897,-0.124030832001724,-0.422998473965517
"65","WALKING_DOWNSTAIRS",3,0.292423484693878,-0.0193554079328571,-0.116139842908163,-0.0574100475102041,-0.0331503723387755,-0.362240245489796,-0.0421706943244898,-0.00770048300204082,-0.404452414285714,-0.0654417192653061,-0.109722354322449,-0.389723034061224
"66","WALKING_UPSTAIRS",3,0.260819873067797,-0.0324109410555932,-0.110064863437288,-0.313123437627119,0.0116280813372881,-0.369754604067797,-0.392004211474576,-0.0788094156644068,-0.504494528474576,-0.285333024050847,-0.00803987529661017,-0.350797226271186
"67","STANDING",5,0.282544390892857,-0.00700418554517857,-0.102171095696429,-0.968591815714286,-0.869439913392857,-0.869327321785714,-0.964500917321429,-0.890796360535714,-0.915083799107143,-0.97066840875,-0.867933178017857,-0.858231387857143
"68","SITTING",5,0.273694139545455,-0.00990083527045455,-0.108540300265909,-0.980945022045455,-0.904335121022727,-0.926094740227273,-0.977450812045455,-0.921434735681818,-0.946064216818182,-0.9825908425,-0.9022915301,-0.92184351
"69","LAYING",5,0.278334325576923,-0.0183042123269231,-0.107937603673077,-0.965934509615385,-0.969295613269231,-0.968562516346154,-0.968741678461538,-0.965419520961538,-0.977007724615385,-0.964953893653846,-0.972909186730769,-0.965882191153846
"70","WALKING",5,0.27784234625,-0.0172850317482679,-0.107741776464286,-0.294098534232143,0.0767484028053571,-0.45702143625,-0.287782607410714,0.00946037755178572,-0.490251090714286,-0.297517355196429,0.0426026830839286,-0.483059957321429
"71","WALKING_DOWNSTAIRS",5,0.29354392712766,-0.00850107533191489,-0.100319930659574,0.275046110468085,0.0907630761042553,-0.325891435319149,0.0984320090212766,0.0792280694042553,-0.374740089574468,0.336554724893617,0.0268269875085106,-0.353397850212766
"72","WALKING_UPSTAIRS",5,0.268459469914894,-0.0325269755153191,-0.107471453914894,-0.0457237779851064,0.185022459476596,-0.308938978787234,-0.161485339978723,0.0728903158085106,-0.457470676808511,-0.00473819670425532,0.165037631180851,-0.28925665906383
"73","STANDING",6,0.280346248596491,-0.0181236327175439,-0.112172831947368,-0.981758159649123,-0.921493191754386,-0.925692371929825,-0.977100287368421,-0.930336471754386,-0.942864017017544,-0.984067374035088,-0.921449111052632,-0.922067224210526
"74","SITTING",6,0.276778487454545,-0.0145911615290909,-0.110127728709091,-0.980164933636364,-0.923682131090909,-0.925797097090909,-0.975351454727273,-0.928264365454545,-0.935798115272727,-0.982451284727273,-0.925676956,-0.925768475636364
"75","LAYING",6,0.248656520140351,-0.0102529170561404,-0.133119570368421,-0.934049422052632,-0.924644826385965,-0.925216100350877,-0.939114254210526,-0.923706791403509,-0.938044912280702,-0.932462941461404,-0.929711219929825,-0.924004748421053
"76","WALKING",6,0.283658868070175,-0.0168954189082456,-0.110303165877193,-0.296538717368421,0.164213884996491,-0.504324207192982,-0.187934323140351,0.140781621991228,-0.498520164385965,-0.34522769,0.101699642168947,-0.550474621754386
"77","WALKING_DOWNSTAIRS",6,0.277045258145833,-0.019536840063125,-0.107209356208333,0.383681639791667,0.360164958768542,-0.320204232520417,0.328308506041667,0.339771173822917,-0.277602590916667,0.403369766666667,0.283247837625,-0.4060143105
"78","WALKING_UPSTAIRS",6,0.268229355098039,-0.0272425385070588,-0.122082438784314,-0.0501350188513725,0.189276117327451,-0.353519514896078,-0.131075372803922,0.0978035099588235,-0.42724809972549,-0.0211335627276471,0.159123777172549,-0.36587418445098
"79","STANDING",7,0.282723539433962,-0.0145740341037736,-0.0997778303207547,-0.979307570377358,-0.923400921886792,-0.917064168490566,-0.976681834339623,-0.941883783773585,-0.938550519811321,-0.980541336037736,-0.919118753018868,-0.912358813773585
"80","SITTING",7,0.284674637291667,-0.01461097580375,-0.122464597625,-0.972668374583333,-0.909454698541667,-0.8565329414375,-0.972697126875,-0.93149063375,-0.904675337916667,-0.972879966041667,-0.904629195833333,-0.844083052916667
"81","LAYING",7,0.250176694038462,-0.0204411516884615,-0.101361036576923,-0.93651361,-0.926262668653846,-0.952978365961539,-0.953424245576923,-0.942193953846154,-0.958611644615385,-0.931120580576923,-0.922917902307692,-0.953380646346154
"82","WALKING",7,0.275592961754386,-0.018653665345614,-0.110912234947368,-0.327243240701754,-0.0772618561052631,0.159631283261403,-0.343048405789474,-0.0641564202736842,0.0385832252345614,-0.322034908070175,-0.143721823263158,0.133316828089298
"83","WALKING_DOWNSTAIRS",7,0.28030708,-0.0166332372978723,-0.096938308587234,0.0660815600978723,-0.138179072734043,-0.0636402447755319,0.0443428315319149,-0.145302311446808,-0.139216222106383,0.0730110797851064,-0.190187141297872,-0.100121492529787
"84","WALKING_UPSTAIRS",7,0.248706923078431,-0.0275639005607843,-0.143769688803922,-0.29487297445098,-0.32616002254902,-0.145665025639216,-0.336199426470588,-0.381590523137255,-0.317461021372549,-0.279870086215686,-0.341025552941176,-0.124912269443137
"85","STANDING",8,0.279620986111111,-0.0148113067148148,-0.106114996837037,-0.988815418148148,-0.938479429074074,-0.926065255185185,-0.988219862222222,-0.9500491,-0.950362935555556,-0.98918374962963,-0.936231722777778,-0.919744963888889
"86","SITTING",8,0.267491472934783,-0.00672550621304348,-0.104461049130435,-0.979026152391304,-0.927331997021739,-0.939553030217391,-0.981142909782609,-0.94421971826087,-0.959436275869565,-0.978256730652174,-0.923829969347826,-0.933889846521739
"87","LAYING",8,0.261254282907407,-0.0212281733881481,-0.102245365611111,-0.94304121537037,-0.93489116,-0.932491454407407,-0.953538563888889,-0.951816663703704,-0.944269514074074,-0.940125298333333,-0.931236756962963,-0.931146497518519
"88","WALKING",8,0.27468631,-0.0186628865310417,-0.107252090833333,-0.173605736002083,0.380782052708333,-0.1420885318125,-0.247389011875,0.316982393333333,-0.238634594791667,-0.148386858858333,0.32484493125,-0.158437341970833
"89","WALKING_DOWNSTAIRS",8,0.283484089210526,-0.0211058674973684,-0.107598135394737,0.0241393473736842,0.343826273105263,0.1337170395,0.136590199860526,0.388412779763158,0.159589756534211,-0.0260463260078947,0.232184078052632,0.0214914840105263
